Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education_Updated,EducationField,EnvironmentSatisfaction_Updated,Gender,HourlyRate,JobInvolvement_Updated,JobLevel_Updated,JobRole,JobSatisfaction_Updated,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction_Updated,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance_Updated,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,26-35,0,Travel_Rarely,136,Research & Development,1,Moderately Educated,Life Sciences,Low,Male,89,High,Low,Healthcare Representative,Low,Married,5373,0,0,12,3,Low,1,6,5,Medium,5,3,0,2
29,26-35,1,Travel_Rarely,1092,Research & Development,1,Highly Educated,Medical,Low,Male,36,High,Very Low,Research Scientist,Very High,Married,4787,9,1,14,3,Medium,3,4,3,Very High,2,2,2,2
29,26-35,0,Travel_Rarely,1378,Research & Development,13,Less Educated,Other,Very High,Male,46,Medium,Low,Laboratory Technician,Medium,Married,4025,4,1,13,3,Low,1,10,2,High,4,3,0,3
29,26-35,0,Travel_Rarely,468,Research & Development,28,Highly Educated,Medical,Very High,Female,73,Medium,Very Low,Research Scientist,Low,Single,3785,1,0,14,3,Medium,0,5,3,Low,5,4,0,4
29,26-35,0,Travel_Rarely,468,Research & Development,28,Highly Educated,Medical,Very High,Female,73,Medium,Very Low,Research Scientist,Low,Single,3785,1,0,14,3,Medium,0,5,3,Low,5,4,0,4
30,26-35,0,Travel_Rarely,1358,Research & Development,24,Very Less Educated,Life Sciences,Very High,Male,67,High,Very Low,Laboratory Technician,High,Divorced,2693,1,0,22,4,Medium,1,1,2,High,1,0,0,3
30,26-35,0,Travel_Rarely,125,Research & Development,9,Less Educated,Medical,Very High,Male,83,Medium,Very Low,Laboratory Technician,High,Single,2206,1,0,13,3,Low,0,10,5,High,10,0,1,8
30,26-35,0,Travel_Frequently,721,Research & Development,1,Less Educated,Medical,High,Female,58,High,Low,Laboratory Technician,Very High,Single,4011,1,0,23,4,Very High,0,12,2,High,12,8,3,7
30,26-35,0,Travel_Rarely,852,Research & Development,1,Very Less Educated,Life Sciences,Very High,Male,55,Medium,Low,Laboratory Technician,Very High,Married,5126,1,1,12,3,High,2,10,1,Medium,10,8,3,0
30,26-35,0,Travel_Rarely,288,Research & Development,2,Moderately Educated,Life Sciences,High,Male,99,Medium,Low,Healthcare Representative,Very High,Married,4152,1,0,19,3,Low,3,11,3,High,11,10,10,8
30,26-35,0,Travel_Rarely,1334,Sales,4,Less Educated,Medical,High,Female,63,Medium,Low,Sales Executive,Medium,Divorced,5209,1,1,12,3,Medium,3,11,4,Medium,11,8,2,7
30,26-35,0,Travel_Frequently,1312,Research & Development,23,Moderately Educated,Life Sciences,Low,Male,96,Low,Very Low,Research Scientist,High,Divorced,2613,1,0,25,4,High,3,10,2,Medium,10,7,0,9
30,26-35,0,Travel_Rarely,1240,Human Resources,9,Moderately Educated,Human Resources,High,Male,48,High,Low,Human Resources,Very High,Married,6347,0,1,19,3,Very High,0,12,2,Low,11,9,4,3
30,26-35,0,Travel_Rarely,438,Research & Development,18,Moderately Educated,Life Sciences,Low,Female,75,High,Very Low,Research Scientist,High,Single,2632,1,0,14,3,High,0,5,4,Medium,5,4,0,3
30,26-35,0,Travel_Rarely,201,Research & Development,5,Moderately Educated,Technical Degree,Very High,Female,84,High,Very Low,Research Scientist,Low,Divorced,3204,5,0,14,3,Very High,1,8,3,High,3,2,2,3
30,26-35,0,Travel_Rarely,1427,Research & Development,2,Very Less Educated,Medical,Medium,Male,35,Medium,Very Low,Laboratory Technician,Very High,Single,2720,0,0,13,3,Very High,0,6,3,High,5,3,1,3
30,26-35,0,Travel_Rarely,1339,Sales,5,Moderately Educated,Life Sciences,Medium,Female,41,High,Medium,Sales Executive,Very High,Married,9419,2,0,12,3,High,1,12,2,High,10,9,7,4
30,26-35,0,Non-Travel,111,Research & Development,9,Moderately Educated,Medical,High,Male,66,High,Low,Laboratory Technician,Low,Divorced,3072,1,0,11,3,High,2,12,4,High,12,9,6,10
30,26-35,0,Non-Travel,829,Research & Development,1,Very Less Educated,Life Sciences,High,Male,88,Medium,Medium,Manufacturing Director,High,Single,8474,1,0,22,4,High,0,12,2,High,11,8,5,8
30,26-35,1,Travel_Rarely,1005,Research & Development,3,Moderately Educated,Technical Degree,Very High,Female,88,High,Very Low,Research Scientist,Low,Single,2657,5,1,11,3,High,0,8,5,High,5,2,0,4
30,26-35,1,Travel_Frequently,334,Sales,26,Highly Educated,Marketing,High,Female,52,Medium,Low,Sales Executive,Low,Single,6696,5,0,15,3,High,0,9,5,Medium,6,3,0,1
30,26-35,0,Travel_Rarely,1275,Research & Development,28,Less Educated,Medical,Very High,Female,64,High,Low,Research Scientist,Very High,Married,5775,1,0,13,3,Very High,2,11,2,High,10,8,1,9
30,26-35,0,Travel_Rarely,570,Sales,5,Moderately Educated,Marketing,Very High,Female,30,Medium,Low,Sales Executive,High,Divorced,6118,1,0,13,3,High,3,10,2,High,10,9,1,2
30,26-35,0,Non-Travel,641,Sales,25,Less Educated,Technical Degree,Very High,Female,85,High,Low,Sales Executive,High,Married,4736,7,1,12,3,Medium,1,4,2,Very High,2,2,2,2
30,26-35,0,Travel_Rarely,202,Sales,2,Very Less Educated,Technical Degree,High,Male,72,High,Very Low,Sales Representative,Medium,Married,2476,1,0,18,3,Low,1,1,3,High,1,0,0,0
30,26-35,1,Travel_Frequently,464,Research & Development,4,Moderately Educated,Technical Degree,High,Male,40,High,Very Low,Research Scientist,Very High,Single,2285,9,1,23,4,High,0,3,4,High,1,0,0,0
30,26-35,0,Travel_Rarely,1082,Sales,12,Moderately Educated,Technical Degree,Medium,Female,83,High,Low,Sales Executive,High,Single,6577,0,0,11,3,Medium,0,6,6,High,5,4,4,4
30,26-35,0,Travel_Rarely,317,Research & Development,2,Moderately Educated,Life Sciences,High,Female,43,Low,Low,Manufacturing Director,Very High,Single,6091,2,0,20,4,High,0,11,2,High,5,4,0,2
30,26-35,0,Non-Travel,1400,Research & Development,3,Moderately Educated,Life Sciences,High,Male,53,High,Very Low,Laboratory Technician,Very High,Married,2097,4,0,15,3,High,1,9,3,Low,5,3,1,4
30,26-35,0,Non-Travel,1398,Sales,22,Highly Educated,Other,High,Female,69,High,Medium,Sales Executive,Low,Married,8412,0,0,11,3,High,0,10,3,High,9,8,7,8
30,26-35,0,Non-Travel,1116,Research & Development,2,Moderately Educated,Medical,High,Female,49,High,Very Low,Laboratory Technician,Very High,Single,2564,0,0,14,3,High,0,12,2,Medium,11,7,6,7
30,26-35,0,Travel_Rarely,413,Sales,7,Very Less Educated,Marketing,Very High,Male,57,High,Very Low,Sales Representative,Medium,Single,2983,0,0,14,3,Low,0,4,3,High,3,2,1,2
30,26-35,1,Travel_Frequently,448,Sales,12,Highly Educated,Life Sciences,Medium,Male,74,Medium,Very Low,Sales Representative,Low,Married,2033,1,0,18,3,High,1,1,2,Very High,1,0,0,0
30,26-35,0,Travel_Frequently,160,Research & Development,3,Moderately Educated,Medical,High,Female,71,High,Very Low,Research Scientist,High,Divorced,2083,1,0,20,4,High,1,1,2,High,1,0,0,0
30,26-35,0,Travel_Rarely,501,Sales,27,Very Highly Educated,Marketing,High,Male,99,High,Low,Sales Executive,Very High,Divorced,5304,7,0,23,4,Very High,1,10,2,Medium,8,7,7,7
30,26-35,0,Travel_Rarely,921,Research & Development,1,Moderately Educated,Life Sciences,Very High,Male,38,Low,Very Low,Laboratory Technician,High,Married,3833,3,0,21,4,High,2,7,2,High,2,2,0,2
30,26-35,0,Travel_Rarely,946,Research & Development,2,Moderately Educated,Medical,High,Female,52,Medium,Low,Manufacturing Director,Very High,Single,6877,5,1,24,4,Medium,0,12,4,Medium,0,0,0,0
30,26-35,0,Travel_Frequently,1012,Research & Development,5,Highly Educated,Life Sciences,Medium,Male,75,Medium,Very Low,Research Scientist,Very High,Divorced,3761,9,0,12,3,Medium,1,10,3,Medium,5,4,0,3
30,26-35,0,Travel_Rarely,231,Sales,8,Less Educated,Other,High,Male,62,High,Medium,Sales Executive,High,Divorced,7264,5,0,11,3,Low,1,10,2,Very High,8,4,7,7
30,26-35,1,Travel_Rarely,138,Research & Development,22,Moderately Educated,Life Sciences,Low,Female,48,High,Very Low,Research Scientist,High,Married,2132,4,1,11,3,Medium,0,7,2,High,5,2,0,1
30,26-35,0,Travel_Rarely,153,Research & Development,8,Less Educated,Life Sciences,Medium,Female,73,Very High,Medium,Research Director,Low,Married,11416,0,1,12,3,High,3,9,4,Medium,8,7,1,7
30,26-35,1,Travel_Frequently,109,Research & Development,5,Moderately Educated,Medical,Medium,Female,60,High,Very Low,Laboratory Technician,Medium,Single,2422,0,0,17,3,Low,0,4,3,High,3,2,1,2
30,26-35,0,Travel_Rarely,1176,Research & Development,20,Moderately Educated,Other,High,Male,85,High,Low,Manufacturing Director,Low,Married,9957,0,0,15,3,High,1,7,1,Medium,6,2,0,2
30,26-35,0,Travel_Rarely,852,Sales,10,Moderately Educated,Marketing,High,Male,72,Medium,Low,Sales Executive,High,Married,6578,1,0,18,3,Low,1,10,3,High,10,3,1,4
30,26-35,0,Travel_Rarely,1329,Sales,29,Highly Educated,Life Sciences,High,Male,61,High,Low,Sales Executive,Low,Divorced,4115,8,0,19,3,High,3,8,3,High,4,3,0,3
30,26-35,0,Travel_Rarely,853,Research & Development,7,Highly Educated,Life Sciences,High,Male,49,High,Low,Laboratory Technician,High,Divorced,3491,1,0,13,3,Low,3,10,4,Medium,10,7,8,9
30,26-35,0,Travel_Rarely,1465,Research & Development,1,Moderately Educated,Medical,Very High,Male,63,High,Very Low,Research Scientist,Medium,Married,3579,0,1,21,4,Low,1,12,2,High,11,9,5,7
30,26-35,0,Non-Travel,879,Research & Development,9,Less Educated,Medical,High,Female,72,High,Low,Manufacturing Director,High,Single,4695,7,1,18,3,High,0,10,3,High,8,4,1,7
30,26-35,0,Travel_Rarely,1138,Research & Development,6,Moderately Educated,Technical Degree,Low,Female,48,Medium,Low,Laboratory Technician,Very High,Married,4627,0,0,12,3,Low,1,10,6,High,9,2,6,7
30,26-35,0,Travel_Rarely,634,Research & Development,17,Highly Educated,Medical,Medium,Female,95,High,Medium,Manager,Low,Married,11916,1,1,23,4,Very High,2,9,2,High,9,1,0,8
30,26-35,0,Travel_Rarely,855,Sales,7,Highly Educated,Marketing,Very High,Female,73,High,Low,Sales Executive,Low,Divorced,4779,7,0,14,3,Medium,2,8,3,High,3,2,0,2
30,26-35,0,Travel_Rarely,1358,Sales,16,Very Less Educated,Life Sciences,Very High,Male,96,High,Low,Sales Executive,High,Married,5301,8,0,15,3,High,2,4,2,Medium,2,1,2,2
30,26-35,0,Non-Travel,990,Research & Development,7,Moderately Educated,Technical Degree,High,Male,64,High,Very Low,Research Scientist,High,Divorced,1274,1,0,13,3,Medium,2,1,2,Medium,1,0,0,0
30,26-35,0,Travel_Rarely,330,Human Resources,1,Moderately Educated,Life Sciences,High,Male,46,High,Very Low,Human Resources,High,Divorced,2064,0,0,21,4,Low,1,6,3,Very High,5,3,1,3
30,26-35,1,Travel_Rarely,740,Sales,1,Moderately Educated,Life Sciences,Medium,Male,64,Medium,Low,Sales Executive,Low,Married,9714,1,0,11,3,Very High,1,10,4,High,10,8,6,7
30,26-35,0,Travel_Rarely,1288,Sales,29,Highly Educated,Technical Degree,High,Male,33,High,Medium,Sales Executive,Medium,Married,9250,3,0,12,3,Medium,1,9,3,High,4,2,1,3
30,26-35,0,Travel_Rarely,241,Research & Development,7,Moderately Educated,Medical,Medium,Male,48,Medium,Very Low,Research Scientist,Medium,Married,2141,1,0,12,3,Medium,1,6,3,Medium,6,4,1,1
30,26-35,0,Travel_Rarely,793,Research & Development,16,Very Less Educated,Life Sciences,Medium,Male,33,High,Very Low,Research Scientist,Very High,Married,2862,1,0,12,3,Medium,1,10,2,Medium,10,0,0,8
30,26-35,0,Travel_Frequently,1312,Research & Development,2,Highly Educated,Technical Degree,Very High,Female,78,Medium,Very Low,Research Scientist,Low,Single,4968,0,0,16,3,Very High,0,10,2,High,9,7,0,7
30,26-35,1,Travel_Frequently,600,Human Resources,8,Moderately Educated,Human Resources,High,Female,66,Medium,Very Low,Human Resources,Very High,Divorced,2180,6,0,11,3,High,1,6,0,Medium,4,2,1,2
30,26-35,0,Travel_Rarely,979,Sales,15,Less Educated,Marketing,High,Male,94,Medium,Medium,Sales Executive,Low,Divorced,7140,2,0,11,3,Low,1,12,2,High,7,7,1,7
30,26-35,0,Travel_Rarely,305,Research & Development,16,Moderately Educated,Life Sciences,High,Male,58,Very High,Low,Healthcare Representative,High,Married,5294,3,0,16,3,High,1,10,3,High,7,0,1,7
30,26-35,0,Travel_Rarely,1092,Research & Development,10,Moderately Educated,Medical,Low,Female,64,High,Medium,Manufacturing Director,High,Single,9667,9,0,14,3,Medium,0,9,3,High,7,7,0,2
30,26-35,1,Travel_Rarely,945,Sales,9,Moderately Educated,Medical,Medium,Male,89,High,Very Low,Sales Representative,Very High,Single,1081,1,0,13,3,High,0,1,3,Medium,1,0,0,0
30,26-35,0,Travel_Rarely,911,Research & Development,1,Less Educated,Medical,Very High,Male,76,High,Very Low,Laboratory Technician,Medium,Married,3748,1,0,13,3,High,0,12,6,Medium,12,8,1,7
31,26-35,0,Travel_Rarely,670,Research & Development,26,Very Less Educated,Life Sciences,Low,Male,31,High,Very Low,Research Scientist,High,Divorced,2911,1,0,17,3,Very High,1,5,1,Medium,5,2,4,3
31,26-35,0,Travel_Rarely,655,Research & Development,7,Highly Educated,Life Sciences,Very High,Male,48,High,Low,Laboratory Technician,Very High,Divorced,5915,3,0,22,4,Very High,1,10,3,Medium,7,7,1,7
31,26-35,0,Travel_Rarely,1082,Research & Development,1,Highly Educated,Medical,High,Male,87,High,Very Low,Research Scientist,Medium,Single,2501,1,0,17,3,Medium,0,1,4,High,1,1,1,3
31,26-35,0,Travel_Rarely,746,Research & Development,8,Highly Educated,Life Sciences,High,Female,61,High,Low,Manufacturing Director,Very High,Single,4424,1,0,23,4,Very High,0,11,2,High,11,7,1,3
31,26-35,1,Travel_Rarely,249,Sales,6,Highly Educated,Life Sciences,Medium,Male,76,Low,Low,Sales Executive,High,Married,6172,4,1,18,3,Medium,0,12,3,Medium,7,7,7,7
31,26-35,1,Travel_Rarely,542,Sales,20,Moderately Educated,Life Sciences,Medium,Female,71,Low,Low,Sales Executive,High,Married,4559,3,1,11,3,High,1,4,2,High,2,2,2,2
31,26-35,0,Travel_Rarely,140,Research & Development,12,Very Less Educated,Medical,High,Female,95,High,Very Low,Research Scientist,Very High,Married,3929,8,1,23,4,High,1,7,0,High,4,2,0,2
31,26-35,0,Non-Travel,979,Research & Development,1,Highly Educated,Medical,High,Male,90,Low,Low,Manufacturing Director,High,Married,4345,0,0,12,3,Very High,1,6,2,High,5,4,1,4
31,26-35,0,Travel_Frequently,1327,Research & Development,3,Highly Educated,Medical,Medium,Male,73,High,Medium,Research Director,High,Divorced,13675,9,0,12,3,Low,1,9,3,High,2,2,2,2
31,26-35,1,Travel_Frequently,307,Research & Development,29,Less Educated,Medical,High,Male,71,Medium,Very Low,Laboratory Technician,Medium,Single,3479,0,0,11,3,Medium,0,6,2,Very High,5,4,1,4
31,26-35,0,Travel_Rarely,1463,Research & Development,23,Moderately Educated,Medical,Medium,Male,64,Medium,Low,Healthcare Representative,Very High,Married,5582,0,0,21,4,Medium,1,10,2,High,9,0,7,8
31,26-35,0,Travel_Frequently,444,Sales,5,Moderately Educated,Marketing,Very High,Female,84,High,Very Low,Sales Representative,Medium,Divorced,2789,1,0,11,3,High,1,2,5,Medium,2,2,2,2
31,26-35,0,Travel_Rarely,218,Sales,7,Moderately Educated,Technical Degree,Medium,Male,100,Very High,Low,Sales Executive,Very High,Married,6929,4,0,11,3,Medium,1,10,3,Medium,8,7,7,7
31,26-35,0,Travel_Rarely,691,Research & Development,5,Highly Educated,Technical Degree,High,Male,86,High,Very Low,Research Scientist,Very High,Married,4821,0,1,12,3,High,1,6,4,High,5,2,0,3
31,26-35,0,Travel_Rarely,106,Human Resources,2,Moderately Educated,Human Resources,Low,Male,62,Medium,Low,Human Resources,Low,Married,6410,3,0,12,3,Very High,0,9,1,High,2,2,1,0
31,26-35,0,Travel_Rarely,192,Research & Development,2,Highly Educated,Life Sciences,High,Male,32,High,Very Low,Research Scientist,Very High,Divorced,2695,0,1,18,3,Medium,1,3,2,Low,2,2,2,2
31,26-35,0,Travel_Rarely,691,Sales,7,Moderately Educated,Marketing,Very High,Male,73,High,Low,Sales Executive,Very High,Divorced,7547,4,0,12,3,Very High,3,13,3,High,7,7,1,7
31,26-35,0,Travel_Frequently,798,Research & Development,7,Less Educated,Life Sciences,High,Female,48,Medium,Medium,Manufacturing Director,High,Married,8943,1,0,24,4,Low,1,10,2,High,10,9,8,9
31,26-35,0,Travel_Rarely,1232,Research & Development,7,Highly Educated,Medical,High,Female,39,High,Medium,Manufacturing Director,Very High,Single,7143,1,1,14,3,High,0,11,2,Medium,11,9,4,10
31,26-35,0,Travel_Rarely,408,Research & Development,9,Highly Educated,Life Sciences,High,Male,42,Medium,Very Low,Research Scientist,Medium,Single,2657,0,1,16,3,Very High,0,3,5,High,2,2,2,2
31,26-35,0,Travel_Rarely,480,Research & Development,7,Less Educated,Medical,Medium,Female,31,High,Low,Manufacturing Director,Low,Married,4306,1,0,12,3,Medium,1,13,5,Low,13,10,3,12
31,26-35,0,Travel_Rarely,329,Research & Development,1,Less Educated,Life Sciences,Very High,Male,98,Medium,Very Low,Laboratory Technician,Low,Married,2218,1,0,12,3,High,1,4,3,High,4,2,3,2
31,26-35,0,Travel_Rarely,1274,Research & Development,9,Very Less Educated,Life Sciences,High,Male,33,High,Medium,Manufacturing Director,Medium,Divorced,10648,1,0,25,4,Very High,1,13,6,Very High,13,8,0,8
31,26-35,1,Travel_Frequently,534,Research & Development,20,Moderately Educated,Life Sciences,Low,Male,66,High,Medium,Healthcare Representative,High,Married,9824,3,0,12,3,Low,0,12,2,High,1,0,0,0
31,26-35,0,Travel_Rarely,828,Sales,2,Very Less Educated,Life Sciences,Medium,Male,77,High,Low,Sales Executive,Very High,Single,6582,4,1,13,3,High,0,10,2,Very High,6,5,0,5
31,26-35,0,Travel_Rarely,688,Sales,7,Moderately Educated,Life Sciences,High,Male,44,Medium,Medium,Manager,Very High,Divorced,11557,9,0,21,4,High,1,10,3,Medium,5,4,0,1
31,26-35,1,Travel_Rarely,1365,Sales,13,Highly Educated,Medical,Medium,Male,46,High,Low,Sales Executive,Low,Divorced,4233,2,0,17,3,High,0,9,2,Low,3,1,1,2
31,26-35,0,Travel_Rarely,525,Sales,6,Highly Educated,Medical,Low,Male,66,Very High,Low,Sales Executive,Very High,Divorced,5460,4,0,22,4,Very High,2,13,4,Very High,7,7,5,7
31,26-35,0,Travel_Rarely,1222,Research & Development,11,Highly Educated,Life Sciences,Very High,Male,48,High,Very Low,Research Scientist,Very High,Married,2356,3,1,19,3,Medium,1,8,2,High,6,4,0,2
31,26-35,0,Travel_Rarely,154,Sales,7,Highly Educated,Life Sciences,Medium,Male,41,Medium,Very Low,Sales Representative,High,Married,2329,3,0,15,3,Medium,0,13,2,Very High,7,7,5,2
31,26-35,0,Non-Travel,1188,Sales,20,Less Educated,Marketing,Very High,Female,45,High,Low,Sales Executive,High,Married,6932,1,0,13,3,Very High,1,9,2,Medium,9,8,0,0
31,26-35,0,Travel_Rarely,616,Research & Development,12,Moderately Educated,Medical,Very High,Female,41,High,Low,Healthcare Representative,Very High,Married,5855,0,1,11,3,High,2,10,2,Low,9,7,8,5
31,26-35,1,Non-Travel,335,Research & Development,9,Less Educated,Medical,High,Male,46,Medium,Very Low,Research Scientist,Low,Single,2321,0,1,22,4,Low,0,4,0,High,3,2,1,2
31,26-35,0,Travel_Frequently,853,Research & Development,1,Very Less Educated,Life Sciences,High,Female,96,High,Low,Manufacturing Director,Low,Married,4148,1,0,12,3,High,1,4,1,High,4,3,0,3
31,26-35,0,Travel_Frequently,793,Sales,20,Moderately Educated,Life Sciences,High,Male,67,Very High,Very Low,Sales Representative,Very High,Married,2791,0,0,12,3,Low,1,3,4,High,2,2,2,2
31,26-35,1,Travel_Frequently,874,Research & Development,15,Moderately Educated,Medical,High,Male,72,High,Very Low,Laboratory Technician,High,Married,2610,1,0,12,3,High,1,2,5,Medium,2,2,2,2
31,26-35,0,Travel_Rarely,1332,Research & Development,11,Less Educated,Medical,High,Male,80,High,Low,Healthcare Representative,Low,Married,6833,1,1,12,3,Very High,0,6,2,Medium,6,5,0,1
31,26-35,0,Travel_Rarely,1062,Research & Development,24,Moderately Educated,Medical,High,Female,96,Medium,Low,Healthcare Representative,Low,Single,6812,1,0,19,3,Medium,0,10,2,High,10,9,1,8
31,26-35,0,Non-Travel,587,Sales,2,Highly Educated,Life Sciences,Very High,Female,57,High,Medium,Sales Executive,High,Divorced,9852,1,1,19,3,Low,1,10,5,Medium,10,8,9,6
31,26-35,1,Travel_Frequently,1060,Sales,1,Moderately Educated,Life Sciences,Very High,Female,54,High,Very Low,Sales Representative,Medium,Single,2302,1,1,11,3,Low,0,3,2,Very High,3,2,2,2
31,26-35,1,Travel_Frequently,703,Sales,2,Moderately Educated,Life Sciences,High,Female,90,Medium,Very Low,Sales Representative,Very High,Single,2785,7,0,14,3,High,0,3,3,Very High,1,0,0,0
31,26-35,1,Travel_Rarely,330,Research & Development,22,Highly Educated,Medical,Very High,Male,98,High,Low,Manufacturing Director,High,Married,6179,1,1,15,3,Very High,2,10,3,Medium,10,2,6,7
31,26-35,1,Travel_Frequently,667,Sales,1,Highly Educated,Life Sciences,Medium,Female,50,Low,Very Low,Sales Representative,High,Single,1359,1,0,12,3,Medium,0,1,3,High,1,0,0,0
31,26-35,0,Travel_Rarely,182,Research & Development,8,Very Highly Educated,Life Sciences,Low,Female,93,High,High,Research Director,Medium,Single,16422,3,0,11,3,High,0,9,3,Very High,3,2,1,0
31,26-35,1,Travel_Rarely,202,Research & Development,8,Moderately Educated,Life Sciences,Low,Female,34,Medium,Very Low,Research Scientist,Medium,Single,1261,1,0,12,3,High,0,1,3,Very High,1,0,0,0
31,26-35,0,Travel_Rarely,326,Sales,8,Less Educated,Life Sciences,Low,Male,31,High,Medium,Sales Executive,Very High,Divorced,10793,1,0,18,3,Low,1,13,5,High,13,7,9,9
31,26-35,1,Travel_Frequently,1445,Research & Development,1,Very Highly Educated,Life Sciences,High,Female,100,Very High,Medium,Manufacturing Director,Medium,Single,7446,1,0,11,3,Low,0,10,2,High,10,8,4,7
31,26-35,0,Travel_Rarely,1398,Human Resources,8,Less Educated,Medical,Very High,Female,96,Very High,Very Low,Human Resources,Medium,Single,2109,9,0,18,3,Very High,0,8,3,High,3,2,0,2
31,26-35,1,Travel_Frequently,523,Research & Development,2,Moderately Educated,Life Sciences,Medium,Male,94,High,Very Low,Laboratory Technician,Very High,Married,3722,6,1,13,3,High,1,7,2,Low,2,2,2,2
31,26-35,1,Travel_Frequently,561,Research & Development,3,Moderately Educated,Life Sciences,Very High,Female,33,High,Very Low,Research Scientist,High,Single,4084,1,0,12,3,Low,0,7,2,Low,7,2,7,7
31,26-35,0,Travel_Frequently,715,Sales,2,Highly Educated,Other,Very High,Male,54,High,Low,Sales Executive,Low,Single,5332,7,0,13,3,Very High,0,10,3,High,5,2,0,3
31,26-35,0,Travel_Rarely,1112,Sales,5,Highly Educated,Life Sciences,Low,Female,67,High,Low,Sales Executive,Very High,Married,5476,1,0,11,3,Low,2,10,2,High,10,0,0,2
31,26-35,0,Travel_Rarely,741,Research & Development,2,Highly Educated,Life Sciences,Medium,Male,69,High,Very Low,Laboratory Technician,High,Married,3477,1,0,14,3,Very High,1,6,2,Very High,5,2,0,3
31,26-35,0,Travel_Frequently,163,Research & Development,24,Very Less Educated,Technical Degree,Very High,Female,30,High,Low,Manufacturing Director,Very High,Single,5238,2,0,20,4,Very High,0,9,3,Medium,5,4,1,4
31,26-35,0,Travel_Rarely,1003,Sales,5,Moderately Educated,Technical Degree,Low,Male,51,High,Low,Sales Executive,High,Married,8346,1,0,19,3,High,1,6,3,High,5,2,0,2
31,26-35,1,Travel_Rarely,1079,Sales,16,Highly Educated,Marketing,Low,Male,70,High,Medium,Sales Executive,High,Married,8161,2,0,13,3,Low,3,10,2,High,1,0,0,0
31,26-35,0,Travel_Rarely,196,Sales,29,Highly Educated,Marketing,Low,Female,91,Medium,Low,Sales Executive,Very High,Married,5468,1,0,14,3,Low,2,13,3,High,12,7,5,7
31,26-35,0,Travel_Frequently,1125,Sales,7,Highly Educated,Marketing,Low,Female,68,High,Medium,Sales Executive,Low,Married,9637,2,0,14,3,Very High,2,9,3,High,3,2,2,2
31,26-35,1,Travel_Rarely,359,Human Resources,18,Very Highly Educated,Human Resources,Very High,Male,89,Very High,Very Low,Human Resources,Low,Married,2956,0,0,17,3,High,0,2,4,High,1,0,0,0
31,26-35,0,Travel_Rarely,311,Research & Development,20,Moderately Educated,Life Sciences,Medium,Male,89,High,Low,Laboratory Technician,High,Divorced,4197,1,0,11,3,Low,1,10,2,High,10,8,0,2
31,26-35,0,Travel_Rarely,1079,Sales,10,Less Educated,Medical,High,Female,86,High,Low,Sales Executive,Very High,Divorced,6583,2,1,11,3,Very High,1,8,2,High,5,2,1,4
31,26-35,0,Travel_Rarely,471,Research & Development,4,Moderately Educated,Medical,Low,Female,62,Very High,Very Low,Laboratory Technician,High,Divorced,3978,8,0,12,3,Medium,1,4,0,Medium,2,2,2,2
31,26-35,0,Non-Travel,976,Research & Development,3,Less Educated,Medical,High,Male,48,High,Very Low,Research Scientist,Low,Divorced,3065,1,1,13,3,Very High,1,4,3,Very High,4,2,2,3
31,26-35,0,Travel_Frequently,1125,Research & Development,1,Moderately Educated,Life Sciences,Very High,Male,48,Low,Low,Research Scientist,Low,Married,5003,1,0,21,4,Medium,0,10,6,High,10,8,8,7
31,26-35,1,Travel_Frequently,754,Sales,26,Highly Educated,Marketing,Low,Male,63,High,Low,Sales Executive,Very High,Married,5617,1,1,11,3,High,0,10,4,High,10,7,0,8
31,26-35,0,Travel_Rarely,1276,Research & Development,2,Very Less Educated,Medical,Very High,Female,59,Low,Very Low,Laboratory Technician,Very High,Divorced,1129,1,1,11,3,High,3,1,4,High,1,0,0,0
31,26-35,0,Non-Travel,697,Research & Development,10,Moderately Educated,Medical,High,Female,40,High,Medium,Research Director,High,Married,11031,4,0,20,4,High,1,13,2,Very High,11,7,4,8
31,26-35,0,Travel_Rarely,1154,Sales,2,Less Educated,Life Sciences,Low,Male,54,High,Very Low,Sales Representative,High,Married,3067,0,0,19,3,High,1,3,1,High,2,2,1,2
31,26-35,0,Non-Travel,325,Research & Development,5,Moderately Educated,Medical,Medium,Male,74,High,Low,Manufacturing Director,Low,Single,9936,0,0,19,3,Medium,0,10,2,High,9,4,1,7
31,26-35,0,Non-Travel,325,Research & Development,5,Moderately Educated,Medical,Medium,Male,74,High,Low,Manufacturing Director,Low,Single,9936,0,0,19,3,Medium,0,10,2,High,9,4,1,7
32,26-35,0,Travel_Frequently,1005,Research & Development,2,Less Educated,Life Sciences,Very High,Male,79,High,Very Low,Laboratory Technician,Very High,Single,3068,0,0,13,3,High,0,8,2,Medium,7,7,3,6
32,26-35,0,Travel_Rarely,334,Research & Development,5,Less Educated,Life Sciences,Low,Male,80,Very High,Very Low,Research Scientist,Medium,Divorced,3298,0,1,12,3,Very High,2,7,5,Medium,6,2,0,5
